LS,TO,VBN,'',WP,UH,VBG,JJ,VBZ,--,VBP,NN,DT,PRP,:,WP$,NNPS,PRP$,WDT,(,),.,",",``,$,RB,RBR,RBS,VBD,IN,FW,RP,JJR,JJS,PDT,MD,VB,WRB,NNP,EX,NNS,SYM,CC,CD,POS,class
0,6,4,2,4,2,1,15,9,0,9,41,26,6,5,1,0,2,3,0,0,11,11,2,0,13,0,1,3,25,0,0,0,0,1,1,8,5,25,0,11,0,6,3,0,0
0,0,4,0,0,0,2,13,3,0,5,23,15,3,3,0,0,0,1,0,0,5,5,2,0,7,0,0,1,12,0,0,4,0,0,2,3,1,2,1,10,0,4,2,0,0
0,1,3,0,1,0,1,13,3,0,7,21,7,9,2,0,1,2,0,0,0,14,9,2,0,6,0,0,1,19,1,0,4,0,0,1,2,0,7,1,6,0,7,1,0,0
0,1,5,0,0,0,2,21,12,0,3,37,38,7,6,0,1,1,3,0,0,10,18,2,0,17,0,0,5,32,1,1,4,2,0,1,3,2,17,2,10,0,8,3,0,0
0,1,5,0,0,0,4,11,0,0,1,15,16,11,1,0,0,0,1,0,0,8,9,2,0,13,0,0,12,21,2,0,0,0,0,1,2,1,3,0,7,0,5,2,0,0
2,0,1,3,2,0,6,17,2,0,5,28,16,10,0,0,0,5,3,0,0,5,10,3,0,10,0,0,14,16,7,3,0,1,0,1,6,2,11,0,5,1,7,4,0,0
0,3,11,0,1,0,4,11,11,0,6,51,26,6,6,0,0,4,1,0,0,16,6,2,0,17,1,0,3,23,0,0,17,1,0,0,3,2,20,0,7,0,3,2,3,0
0,5,1,0,0,0,2,13,10,0,4,35,10,17,7,0,0,4,3,0,0,20,4,2,0,12,0,0,6,21,0,2,15,1,0,4,12,0,3,0,1,0,2,5,0,0
0,2,1,2,0,1,3,10,2,0,2,16,12,6,5,0,0,0,0,0,0,10,5,2,0,9,0,1,7,9,0,0,11,1,3,2,4,1,1,1,3,1,3,3,0,0
0,7,1,0,2,1,13,25,9,0,7,47,32,11,4,0,0,1,0,0,0,16,14,2,0,17,0,0,9,33,0,1,8,0,1,1,6,1,6,3,15,0,9,2,0,0
0,4,1,2,1,1,4,10,2,0,3,33,17,7,8,0,0,2,1,0,0,9,14,2,0,7,0,0,0,14,0,0,9,0,0,2,7,0,9,0,3,0,4,3,0,0
0,5,7,3,1,0,5,22,6,0,4,51,29,19,5,0,0,3,2,0,0,14,21,5,0,25,0,0,13,32,3,1,0,1,0,6,11,0,13,0,7,1,6,3,0,0
0,4,1,5,0,0,2,13,11,0,5,24,7,2,0,0,0,2,2,0,0,2,4,7,0,11,0,0,1,9,0,1,0,1,0,1,5,1,19,2,4,0,6,6,0,0
0,0,0,0,0,0,1,6,3,0,1,6,6,3,0,0,0,0,0,0,0,5,1,2,0,3,0,0,0,5,0,0,0,0,0,2,2,0,1,0,3,0,2,2,0,0
0,6,5,1,1,0,2,15,6,0,5,29,22,3,6,0,0,0,0,0,0,9,6,2,0,11,0,0,3,11,2,0,12,1,0,1,7,0,7,0,5,0,8,3,1,0
0,3,6,2,0,0,3,12,0,0,6,26,28,20,0,0,0,1,0,0,0,16,20,4,0,24,1,0,22,21,0,1,0,0,0,1,6,0,12,2,4,0,13,3,0,0
0,3,3,0,0,0,1,4,2,0,7,24,12,12,6,0,0,2,0,0,0,11,3,4,0,10,0,0,2,15,1,0,15,2,1,3,9,1,12,0,2,0,2,5,0,0
0,2,2,0,1,0,0,6,2,0,2,30,18,8,4,0,0,0,0,0,0,14,6,2,0,13,0,0,5,17,0,0,9,0,0,6,7,1,1,0,7,0,5,2,2,0
0,1,1,2,0,0,1,14,3,0,1,19,19,1,0,0,0,0,0,0,0,4,7,4,0,4,0,0,0,17,1,0,1,0,0,2,2,0,7,0,5,1,4,5,0,0
0,6,9,1,3,3,6,28,19,0,14,93,44,43,20,0,1,10,2,0,0,57,22,3,0,41,2,0,27,46,2,1,25,1,1,8,17,4,14,0,24,0,18,7,1,0
1,23,9,15,1,0,17,66,26,0,17,133,81,27,12,0,2,15,2,0,0,67,45,2,0,38,2,1,11,78,8,2,32,4,1,9,31,2,64,1,34,2,29,11,18,0
0,0,1,0,0,0,0,2,1,0,3,8,5,3,0,0,0,2,1,0,0,4,2,2,0,4,0,0,0,2,2,0,0,1,0,1,1,1,2,0,2,0,1,2,0,0
0,10,5,0,1,0,1,19,11,0,6,47,22,10,10,0,0,2,2,0,0,12,8,2,0,9,0,0,1,17,0,0,20,0,0,2,8,3,4,0,8,0,6,2,1,0
0,7,4,2,0,0,0,18,11,0,0,22,11,10,1,0,1,4,1,0,0,12,10,2,0,13,0,0,7,16,0,0,0,0,0,3,10,4,20,1,4,0,4,1,2,0
0,3,2,1,0,0,4,9,5,0,8,20,14,9,2,0,0,1,0,0,0,7,4,3,0,8,0,0,4,11,0,0,1,0,0,2,5,1,6,1,8,0,5,1,0,0
0,1,0,1,1,0,6,19,4,0,2,27,9,10,9,0,0,2,2,0,0,10,18,1,0,9,0,0,3,10,1,0,16,0,1,1,1,1,9,0,2,0,4,1,0,0
3,12,5,0,1,3,7,34,5,0,7,53,38,27,18,0,0,5,1,0,0,40,16,2,0,26,2,0,26,33,1,3,36,1,0,3,19,4,11,2,15,0,9,12,0,0
0,8,9,0,5,1,3,31,19,0,20,70,49,40,13,0,0,10,3,0,0,27,30,2,0,30,1,0,21,49,0,1,15,1,0,2,12,2,15,1,11,0,15,4,0,0
0,6,5,1,4,0,1,28,17,0,2,42,29,16,5,0,0,4,1,0,0,16,20,3,0,21,2,0,4,28,0,1,8,2,0,3,8,3,14,0,9,0,6,5,0,0
0,7,3,1,1,0,2,10,1,0,2,31,19,14,2,0,0,2,0,0,0,39,6,3,0,10,0,0,12,19,0,3,5,1,1,2,6,3,6,0,6,0,6,5,1,0
0,4,3,1,2,1,1,9,3,0,7,27,17,14,4,0,0,0,0,0,0,9,7,1,0,7,0,0,4,19,0,2,8,1,0,2,8,1,6,1,2,0,7,4,1,0
0,0,2,0,0,0,2,14,4,0,7,21,22,12,2,0,0,3,0,0,0,7,12,2,0,13,0,0,3,12,0,0,4,0,2,3,6,1,3,0,3,0,10,3,0,0
0,1,1,3,1,0,1,14,4,0,8,25,18,8,4,0,1,2,1,0,0,13,11,5,0,11,0,0,3,13,2,0,9,2,1,1,4,0,5,0,9,0,9,5,0,0
0,3,2,0,0,0,2,15,1,0,2,11,16,12,3,0,0,1,0,0,0,7,11,2,0,8,0,1,8,19,0,0,0,1,0,2,5,0,1,0,4,0,5,5,0,0
0,8,9,0,1,0,6,17,9,0,4,52,32,5,10,1,0,3,0,0,0,16,8,2,0,19,0,1,5,19,0,6,16,1,2,3,11,3,1,1,10,0,8,4,0,0
0,10,9,4,2,0,8,40,17,0,0,62,29,5,6,2,0,11,5,0,0,8,28,2,0,17,1,1,0,34,2,0,8,0,0,1,6,1,29,0,6,0,8,7,3,0
0,5,0,0,0,0,1,21,3,0,3,28,25,15,0,0,0,7,0,0,0,17,1,2,0,9,0,0,15,8,0,0,1,0,0,0,4,0,2,0,8,0,10,2,0,0
0,2,4,0,0,1,4,11,5,0,3,29,20,5,0,0,0,1,0,0,0,11,6,2,0,11,0,0,1,20,0,1,0,0,0,2,7,1,7,0,3,0,3,3,0,0
0,4,1,4,1,0,2,15,4,0,2,37,18,8,4,0,0,4,1,0,0,16,5,3,0,8,0,0,8,14,0,0,8,1,0,1,7,2,9,0,6,1,5,2,1,0
0,2,3,0,1,0,3,13,5,0,2,26,15,3,7,0,0,2,0,0,0,5,7,2,0,5,0,2,1,14,1,0,9,0,0,0,5,0,6,0,4,0,2,5,0,0
0,6,4,4,6,0,0,24,6,0,13,58,40,16,20,0,0,0,2,0,0,18,11,6,0,20,0,1,16,24,0,1,36,2,0,2,11,6,20,1,14,0,14,3,2,0
0,1,0,1,0,0,3,2,1,0,1,7,7,6,0,0,0,0,0,0,0,7,2,1,0,4,0,0,3,5,0,0,0,2,0,0,1,0,4,0,2,0,3,2,0,0
0,10,5,2,1,1,5,27,17,0,4,75,47,8,9,0,0,3,5,0,0,15,15,4,0,23,1,0,1,44,0,1,17,0,1,4,11,1,17,1,12,0,14,6,0,0
0,5,2,0,0,0,3,21,8,0,7,23,22,18,0,0,0,2,2,0,0,17,3,2,0,10,0,0,3,21,0,2,1,2,0,2,5,3,1,0,13,0,11,5,0,0
0,6,11,2,2,0,5,29,15,0,3,68,42,1,5,0,0,4,3,0,0,15,6,4,0,22,0,0,4,36,9,2,10,0,0,5,9,0,30,3,9,0,11,6,0,0
0,6,10,1,4,0,11,22,19,0,10,51,27,18,8,0,0,7,3,0,0,17,14,3,0,17,0,0,6,45,0,2,16,1,0,2,8,3,20,0,22,1,7,5,0,0
0,10,5,2,3,0,2,21,8,0,14,52,30,14,16,0,0,2,2,0,0,10,15,4,0,13,0,0,3,33,4,4,32,1,0,2,15,2,17,0,19,0,16,4,0,0
0,4,4,1,0,0,2,18,3,0,2,23,19,11,0,0,0,2,2,0,0,8,7,1,0,14,1,0,7,20,0,1,0,0,2,2,4,0,9,0,11,0,9,2,0,0
0,8,3,0,2,0,5,24,13,0,7,52,33,17,9,0,0,3,2,0,0,11,12,2,0,11,1,1,4,37,0,3,16,0,1,2,6,2,13,0,9,0,11,2,0,0
0,12,5,1,3,1,10,38,8,0,12,92,52,29,15,0,0,3,2,0,0,42,18,3,0,29,1,0,8,51,4,2,25,1,0,7,31,4,24,1,22,0,18,3,0,0
0,6,6,0,2,0,2,13,5,0,0,26,18,5,6,0,0,2,1,0,0,6,10,2,0,7,0,2,6,24,0,1,8,1,0,3,8,2,18,0,4,0,3,3,0,0
0,5,3,2,0,0,2,7,7,0,6,18,20,9,1,0,0,1,3,0,0,10,12,4,0,11,0,0,6,17,4,0,1,1,0,3,9,0,11,2,11,0,10,3,0,0
0,1,1,2,0,0,1,8,3,0,1,10,6,6,0,0,0,0,0,0,0,8,7,4,0,6,0,0,6,9,0,1,2,0,0,1,2,0,7,0,3,1,4,4,0,0
0,8,6,5,4,1,9,44,14,0,15,93,66,19,26,0,0,6,3,0,0,35,35,9,0,31,2,0,7,68,1,4,30,1,0,10,18,1,50,2,45,2,19,5,0,0
0,7,1,0,1,0,5,12,15,0,16,70,42,23,0,0,0,4,3,0,0,15,10,2,0,19,1,0,4,30,0,1,2,0,1,3,10,2,7,1,4,0,11,1,0,0
0,12,7,3,1,0,3,38,27,0,18,101,41,22,42,0,0,7,4,0,0,33,9,10,0,25,0,0,8,54,2,2,72,0,0,4,17,1,40,4,30,5,21,9,0,0
0,15,25,2,5,2,19,32,2,0,1,121,100,22,25,0,3,11,2,0,0,42,23,2,0,21,2,0,61,101,3,7,36,1,0,4,20,4,161,1,10,0,34,17,0,0
0,11,11,9,2,0,6,17,12,0,9,59,37,16,10,0,0,3,1,0,0,23,18,14,0,24,2,0,13,34,11,7,8,1,0,4,15,1,12,3,17,6,12,9,0,0
0,2,3,0,2,0,0,8,5,0,3,11,10,3,1,0,0,0,2,0,0,5,3,2,0,9,0,0,1,12,0,0,1,1,0,1,5,1,3,2,7,0,6,6,0,0
0,2,1,1,0,1,2,14,0,0,3,27,11,12,7,0,0,0,1,0,0,9,12,3,0,2,0,0,11,9,2,2,12,0,1,0,2,0,1,0,4,0,4,5,0,0
0,4,4,5,1,0,3,25,16,0,6,54,27,12,8,1,0,7,1,0,0,21,1,5,0,11,0,0,3,26,2,0,19,0,0,3,5,2,30,0,9,0,7,7,0,0
2,4,1,1,1,0,2,13,7,0,5,27,16,15,2,0,0,3,1,0,0,22,8,3,0,10,0,1,3,16,0,2,5,2,0,2,8,2,6,1,5,1,5,4,1,0
0,4,2,0,0,0,4,4,0,0,1,6,4,12,1,0,0,1,0,0,0,10,1,2,0,8,0,0,6,3,0,1,0,0,0,1,5,1,0,0,1,0,2,2,0,0
0,14,8,1,3,0,4,21,38,0,2,68,45,19,0,0,0,7,1,0,0,29,9,3,0,14,0,0,3,30,9,4,1,0,0,3,15,1,28,1,6,0,11,5,1,0
0,1,2,1,2,1,3,7,11,0,5,29,17,5,2,0,0,2,0,0,0,15,3,3,0,6,0,0,1,10,0,1,4,1,0,0,3,1,10,0,3,1,3,5,0,0
0,7,3,1,2,1,2,21,1,0,3,30,21,7,11,0,0,3,1,0,0,8,14,3,0,9,0,0,14,22,0,0,9,0,2,1,6,0,16,1,10,0,6,6,0,0
0,8,10,2,5,0,5,35,31,0,2,92,66,13,11,0,0,7,1,0,0,20,24,4,0,15,0,0,9,60,1,1,21,5,3,3,4,3,41,0,20,1,14,6,0,0
0,4,5,0,0,0,9,18,4,0,6,26,21,10,8,0,0,0,0,0,0,9,8,2,0,27,0,0,11,24,0,2,4,0,0,0,4,1,2,2,13,0,12,4,0,0
0,8,6,2,0,0,4,24,17,0,13,69,58,18,18,0,0,2,3,0,0,23,36,2,0,27,1,0,4,42,2,2,28,2,1,1,18,2,15,0,18,0,18,6,2,0
0,2,6,2,1,0,7,28,14,0,5,49,34,12,0,0,0,7,2,0,0,14,16,2,0,18,0,1,1,45,2,0,1,0,0,6,9,2,11,0,13,0,10,4,0,0
0,12,10,2,1,0,5,44,25,0,8,73,51,17,8,0,2,4,3,0,0,25,14,2,0,22,1,0,7,51,0,2,18,1,0,3,11,1,78,1,16,0,34,6,0,0
0,11,11,7,3,0,10,51,22,0,7,82,52,16,12,0,0,11,1,0,0,17,29,7,0,37,1,2,4,57,2,2,12,0,0,2,10,0,35,0,23,0,21,5,1,0
0,1,2,0,0,0,6,13,5,0,2,24,6,3,11,0,0,2,0,0,0,6,13,2,0,9,0,1,0,12,0,3,8,0,0,0,3,1,3,0,5,1,4,3,0,0
0,5,5,0,1,0,5,24,11,0,7,48,41,15,8,0,0,1,2,0,0,15,10,2,0,13,0,0,13,30,0,2,4,0,1,1,6,1,7,1,12,0,13,4,0,0
0,7,2,2,2,0,5,27,17,0,3,49,27,9,12,0,0,1,3,0,0,15,11,4,0,12,1,0,4,23,0,2,21,0,0,0,9,1,11,0,6,0,8,2,0,0
0,1,2,0,0,0,0,5,1,0,1,6,4,5,1,0,0,0,0,0,0,2,2,2,0,1,0,0,0,11,0,0,1,0,0,1,2,0,0,0,7,0,3,1,0,0
0,11,2,1,3,0,3,10,4,0,6,38,24,4,4,0,0,7,0,0,0,9,18,3,0,12,0,0,2,26,0,0,8,0,0,5,17,0,6,0,14,0,12,2,0,0
0,8,9,4,6,0,6,22,15,0,7,60,31,12,7,0,0,18,4,0,0,11,22,6,0,25,0,0,10,43,2,5,9,1,0,3,10,3,21,1,17,1,15,3,1,0
0,9,5,0,4,1,3,36,12,0,8,78,45,21,7,0,0,4,2,0,0,50,12,4,0,19,0,0,23,38,3,2,13,1,1,0,12,1,5,1,16,2,13,5,0,0
0,5,2,1,1,0,0,16,5,0,3,35,20,8,12,0,0,1,1,0,0,14,13,2,0,17,2,0,7,19,0,2,21,0,0,4,6,1,4,1,9,0,4,2,1,0
0,3,2,2,0,0,0,10,7,0,2,14,10,9,0,0,0,0,0,0,0,10,6,4,0,6,0,1,2,12,0,2,0,0,0,0,4,1,12,0,6,0,4,2,0,0
0,5,4,0,1,0,2,15,9,0,4,33,21,11,13,0,0,3,0,0,0,16,10,2,0,16,1,0,5,9,2,1,12,0,1,1,9,1,8,1,8,0,6,1,0,0
0,5,3,4,1,0,3,21,7,0,13,36,28,12,9,0,2,2,0,0,0,14,9,6,0,15,0,0,1,23,0,3,8,0,2,2,6,1,9,1,7,1,9,7,2,0
0,2,2,5,0,0,3,10,6,0,1,20,14,2,6,0,0,3,1,0,0,5,4,7,0,6,0,0,1,12,4,0,8,3,0,2,3,0,7,0,8,2,3,4,0,0
0,2,5,2,2,0,2,6,11,0,1,19,10,3,1,0,0,2,0,0,0,9,10,4,0,9,0,0,1,12,0,2,2,0,0,1,5,0,17,0,7,0,7,2,2,0
0,3,2,2,1,0,1,22,6,0,4,32,21,10,2,0,0,1,2,0,0,15,6,6,0,11,1,0,6,17,0,1,1,0,0,2,5,3,11,0,9,0,2,3,0,0
0,3,1,0,1,0,2,13,5,0,3,46,28,8,9,0,0,5,1,0,0,9,6,2,0,17,1,0,11,26,0,0,9,0,0,2,6,1,7,0,9,0,12,4,0,0
1,1,1,1,1,0,0,9,7,0,1,16,13,8,2,1,0,0,0,0,0,4,9,3,0,8,0,0,1,15,0,0,0,0,0,2,4,0,11,1,2,2,4,5,0,0
0,1,2,1,0,1,7,8,1,0,1,27,22,4,1,0,0,0,0,0,0,11,4,3,0,6,0,0,8,14,0,0,0,0,0,2,7,0,11,1,2,0,5,3,0,0
0,7,3,1,1,0,5,12,10,0,6,40,27,9,1,0,0,7,0,0,0,10,17,3,0,7,0,0,2,22,1,1,3,1,0,2,10,1,12,1,7,0,6,4,0,0
0,2,3,0,0,0,1,13,7,0,5,21,13,4,0,0,0,4,0,0,0,12,4,2,0,6,1,0,0,15,0,0,0,0,0,0,3,1,11,0,5,0,5,3,0,0
0,10,5,0,0,0,5,37,9,0,8,48,36,10,5,0,1,10,2,0,0,13,21,2,0,33,0,0,5,44,1,0,2,0,0,3,12,2,27,3,22,0,14,4,1,0
0,4,1,1,0,0,0,10,3,0,7,12,13,22,2,0,0,2,2,0,0,15,9,1,0,9,0,0,9,11,0,0,0,0,1,1,7,2,4,0,9,0,4,1,0,0
0,1,1,1,1,1,0,4,7,0,0,6,6,3,1,0,0,0,0,0,0,6,1,1,0,2,0,0,0,2,0,0,0,0,0,1,2,0,2,0,2,0,3,1,0,0
0,7,7,8,1,0,3,70,22,0,6,77,63,9,7,0,0,6,1,0,0,23,31,9,0,33,0,1,4,60,6,0,9,0,0,4,10,3,41,0,26,4,13,10,1,0
0,7,3,0,1,0,1,14,9,0,4,19,14,9,0,0,0,2,3,0,0,12,6,2,0,10,0,0,4,12,0,1,1,0,0,1,8,3,2,1,8,0,5,2,0,0
0,6,5,0,0,0,2,6,1,0,3,16,12,1,0,0,1,0,1,0,0,7,3,2,0,10,0,0,0,14,0,0,0,0,0,1,4,0,2,0,10,0,3,5,0,0
0,8,6,3,1,0,6,48,13,0,4,58,42,12,9,0,0,10,2,0,0,16,16,4,0,14,0,1,5,31,2,1,0,1,0,1,7,1,22,1,12,0,10,3,1,0
0,10,9,1,1,0,6,43,20,0,5,72,52,4,7,0,1,5,4,0,0,9,12,3,0,17,1,0,4,46,2,5,8,1,0,0,7,2,12,1,21,1,11,6,0,0
0,5,3,2,0,1,3,7,6,0,5,30,19,19,7,0,2,6,0,0,0,12,15,6,0,9,0,0,9,15,0,2,8,1,0,3,7,2,1,1,8,6,4,3,0,0
0,15,7,5,1,1,4,30,14,0,13,67,65,20,5,0,0,4,1,0,0,18,23,8,0,24,0,0,14,47,4,2,1,3,0,5,20,3,41,1,19,1,12,7,1,0
0,3,3,0,0,1,4,4,1,0,2,23,13,7,7,0,1,1,0,0,0,6,5,2,0,4,0,0,3,10,0,0,12,1,0,3,4,0,8,0,1,0,4,3,0,0
1,2,5,3,2,0,0,11,8,0,4,35,26,10,14,0,1,5,0,0,0,16,12,5,0,6,1,0,9,22,2,0,12,0,0,3,5,0,24,0,8,0,4,1,0,0
0,5,3,2,0,0,3,5,9,0,6,33,23,12,2,0,0,3,2,0,0,8,8,4,0,5,0,1,1,22,0,3,0,1,0,0,6,1,10,1,2,1,5,3,0,0
0,4,2,1,1,0,5,13,10,0,9,47,21,6,9,0,0,3,3,0,0,15,12,3,0,10,0,0,6,27,0,2,16,0,0,3,12,0,21,2,15,0,9,2,0,0
0,0,1,0,0,0,2,4,1,0,1,15,8,3,4,0,0,1,0,0,0,4,4,2,0,2,0,0,2,9,0,0,8,0,0,0,1,0,4,0,1,0,3,2,0,0
0,1,3,1,0,0,0,17,10,0,2,31,14,5,14,0,0,1,0,0,0,9,6,3,0,14,0,0,1,15,2,0,16,0,0,2,5,0,3,1,10,0,8,14,0,0
0,1,2,0,0,0,3,10,1,0,1,18,16,27,2,0,0,3,0,0,0,13,5,2,0,8,0,0,21,16,0,0,0,0,0,1,1,1,2,0,7,0,8,4,0,0
0,3,3,0,3,0,3,28,5,0,11,78,48,15,15,0,1,5,2,0,0,28,19,2,0,18,1,0,22,43,0,2,31,2,1,4,8,5,35,1,19,2,16,10,1,0
0,1,2,0,1,0,0,7,1,0,2,8,8,1,0,0,0,2,0,0,0,5,1,2,0,2,0,0,4,6,0,1,0,0,0,0,1,0,0,1,2,0,3,4,0,0
0,6,7,0,2,0,2,13,17,0,8,53,32,12,8,0,1,2,1,0,0,19,11,2,0,19,1,0,1,29,0,0,13,1,0,2,11,3,20,0,11,0,10,4,0,0
0,3,1,0,1,1,1,8,2,0,2,19,13,6,0,0,0,1,0,0,0,8,9,2,0,10,0,0,7,10,2,1,0,2,0,1,7,0,8,0,6,0,4,3,0,0
0,4,3,0,2,0,4,30,19,0,1,37,22,7,7,0,0,5,0,0,0,9,7,2,0,12,1,0,1,25,0,5,7,2,0,0,4,1,12,0,6,0,11,2,0,0
0,0,3,0,0,0,2,14,3,0,1,14,9,0,0,0,0,1,0,0,0,2,8,2,0,11,0,0,0,13,0,0,0,0,0,0,0,0,7,0,2,0,5,1,0,0
0,5,3,2,1,0,5,12,2,0,4,24,19,12,2,0,1,0,2,0,0,8,15,4,0,10,0,0,14,19,2,0,0,0,0,2,5,0,13,0,10,0,8,4,1,0
0,10,6,1,1,0,4,30,14,0,12,67,37,9,10,0,0,6,1,0,0,15,2,3,0,14,0,0,2,33,1,0,18,1,0,1,11,2,26,2,13,0,16,5,0,0
0,11,13,3,1,0,1,47,15,0,11,70,73,19,16,0,0,1,3,0,0,24,22,7,0,36,1,0,15,42,1,1,14,0,0,5,18,3,19,0,24,5,19,3,0,0
0,5,5,0,3,0,3,23,8,0,13,36,31,16,5,0,0,4,1,0,0,16,17,2,0,20,0,0,3,29,0,4,9,0,0,1,10,2,6,0,15,0,14,3,0,0
0,2,1,1,0,0,0,4,3,0,0,12,7,2,0,0,0,0,0,0,0,9,2,3,0,2,0,0,3,0,0,0,0,1,0,0,1,0,4,0,1,0,1,1,0,0
1,2,3,0,0,0,1,13,3,0,4,17,7,14,4,0,0,2,0,0,0,10,3,2,0,9,0,0,11,6,1,1,0,0,1,4,6,5,12,0,9,0,8,5,0,0
0,3,1,1,0,0,5,2,2,0,0,18,17,8,1,0,0,1,0,0,0,18,5,2,0,7,0,0,12,14,0,2,0,0,1,1,5,2,7,1,6,0,8,6,0,0
0,10,3,1,0,1,5,27,12,0,8,55,33,12,6,0,0,7,1,0,0,15,22,3,0,18,0,0,7,33,2,0,12,0,0,3,8,0,25,0,8,0,6,7,0,0
0,2,9,1,0,0,4,15,4,0,7,40,23,21,0,0,0,5,1,0,0,13,15,3,0,14,0,2,9,22,1,0,1,0,0,5,8,0,6,0,2,0,9,1,0,0
0,12,19,6,2,0,12,59,21,0,9,114,71,7,18,0,0,3,5,0,0,19,29,2,0,32,0,1,9,69,0,1,25,0,0,0,9,2,20,0,42,0,20,5,12,0
0,4,6,1,2,0,3,17,6,0,1,53,17,4,14,0,0,6,1,0,0,8,11,1,0,6,0,0,4,29,0,0,12,1,0,2,5,0,20,0,14,0,7,4,0,0
0,2,1,5,1,0,3,9,3,0,0,33,17,1,2,0,0,0,1,0,0,4,5,7,0,5,0,0,1,17,4,0,0,0,0,1,2,3,9,0,7,1,4,5,0,0
0,10,7,1,0,1,2,17,11,0,10,36,31,35,2,0,0,9,2,0,0,18,8,2,0,16,0,0,8,30,0,0,0,0,0,6,17,2,11,1,9,1,10,4,1,0
0,3,1,0,0,0,1,16,2,0,11,9,9,4,0,0,0,1,1,0,0,12,5,2,0,8,1,0,0,12,0,0,0,1,0,0,3,1,6,1,11,0,3,3,0,0
0,1,5,0,0,0,3,10,5,0,2,29,21,5,4,0,0,1,1,0,0,12,3,2,0,6,0,0,4,10,0,1,8,0,1,2,4,0,5,1,2,0,4,1,0,0
0,3,2,0,3,0,1,9,4,0,6,28,18,13,1,0,0,0,0,0,0,14,8,2,0,6,0,0,4,11,10,0,0,0,0,1,7,2,7,1,10,0,3,3,0,0
0,5,1,4,0,1,0,13,2,0,5,20,17,10,0,0,0,0,0,0,0,14,10,6,0,12,0,1,4,6,4,0,0,1,0,1,9,1,2,0,3,0,7,3,0,0
0,16,20,0,3,0,7,61,47,0,15,119,80,26,17,0,0,10,4,0,0,32,41,2,0,35,0,1,1,78,3,1,25,4,1,4,13,1,36,2,33,0,33,7,0,0
0,13,5,0,2,0,5,45,22,0,13,98,72,25,15,0,0,7,0,0,0,29,28,2,0,26,0,0,2,61,0,0,22,2,0,11,24,4,20,4,23,0,20,7,0,0
0,7,1,0,0,0,5,20,9,0,10,35,25,14,0,0,0,1,1,0,0,13,2,2,0,19,0,0,1,26,0,0,2,0,0,3,13,0,0,3,14,0,12,3,1,0
0,4,3,0,0,0,10,22,18,0,6,62,40,9,4,0,0,9,5,0,0,16,4,2,0,21,0,0,6,33,0,5,9,0,0,1,6,1,18,1,6,0,8,3,0,0
0,8,3,5,1,0,7,27,3,0,9,57,31,19,18,0,2,6,1,0,0,39,18,9,0,20,1,0,15,30,5,3,12,1,0,2,8,3,16,0,11,3,5,14,0,0
0,10,7,7,5,0,3,16,7,0,10,61,33,20,14,1,0,2,0,0,0,20,12,8,0,18,1,0,11,40,13,2,29,0,0,7,20,2,29,0,16,1,15,5,1,0
0,6,9,1,0,0,4,12,1,0,12,25,22,20,4,0,0,6,0,0,0,22,4,3,0,15,1,0,16,18,8,0,5,2,0,3,12,1,11,1,19,0,14,3,1,0
0,1,3,0,1,0,1,11,8,0,2,18,10,9,1,0,0,3,0,0,0,9,6,2,0,8,0,0,4,17,0,1,0,0,0,2,3,0,22,0,7,0,8,6,0,0
0,2,0,1,0,0,2,13,1,0,5,20,10,14,0,0,0,4,0,0,0,7,3,1,0,12,1,0,2,15,0,0,0,0,0,4,9,0,0,0,6,0,7,2,0,0
0,8,8,1,2,0,12,35,16,0,7,72,44,53,4,0,0,11,2,0,0,31,9,5,0,38,0,0,32,55,6,2,8,0,2,5,19,8,22,0,17,1,21,3,0,0
0,4,4,0,1,1,1,18,10,0,5,41,33,9,11,0,0,4,1,0,0,18,6,2,0,18,1,0,9,19,0,0,23,1,0,2,8,0,13,0,12,0,7,4,0,0
0,19,12,2,3,8,16,88,26,0,22,189,119,48,8,0,1,7,3,0,0,63,74,2,0,73,2,1,35,114,3,7,8,3,1,10,34,8,24,2,44,0,29,8,2,0
0,4,2,1,0,0,4,11,4,0,4,32,17,14,3,0,0,4,0,0,0,9,6,3,0,13,0,0,8,14,0,2,5,0,0,2,9,1,1,0,2,0,6,3,0,0
0,4,5,2,4,0,6,14,3,0,6,29,13,14,2,0,0,9,0,0,0,15,14,4,0,7,2,0,12,19,0,1,0,0,0,1,7,3,3,0,7,1,6,1,0,0
0,3,2,0,1,0,6,22,11,0,4,31,15,5,0,0,0,3,0,0,0,9,8,2,0,11,1,0,1,12,2,3,0,0,0,0,1,1,16,0,6,0,17,1,1,0
0,2,0,6,1,0,2,13,6,0,5,28,17,8,2,0,0,2,1,0,0,31,4,1,0,8,0,0,0,11,0,0,4,1,0,3,5,0,5,0,6,0,3,2,0,0
0,6,3,4,0,0,1,17,9,0,7,39,23,5,5,0,0,7,1,0,0,9,12,6,0,3,0,0,0,18,0,0,9,0,0,1,6,2,33,1,3,1,11,5,0,0
0,2,1,0,0,0,0,4,4,0,1,12,10,1,0,0,0,0,0,0,0,4,2,2,0,1,1,0,0,2,0,0,0,0,0,0,3,0,3,0,0,0,1,1,0,0
0,0,1,0,0,0,1,3,0,0,1,9,4,7,0,0,0,0,1,0,0,3,6,2,0,8,0,0,5,6,0,0,0,1,0,1,2,0,4,0,0,0,4,2,0,0
